[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 13, 0, 0, 0, 0, 17, 0, 0, 0, 10, 0, 0, 0, 9, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 0, 22, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 0, 0, 0, 18, 0, 0, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 0, 0, 19, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 26, 0, 0, 0, 12, 0, 0, 0, 15, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 0, 0, 10, 0, 1, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 26, 0, 0, 0, 12, 0, 0, 0, 15, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 13, 0, 0, 0, 0, 17, 0, 0, 0, 10, 0, 0, 0, 9, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 0, 22, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 0, 0, 0, 18, 0, 0, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 0, 0, 19, 0, 0, 0, 0, 6, 7, 0, 0, 0, 10, 18, 0, 0, 0, 20, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 0, 9, 0, 0, 5, 0, 10, 0, 0, 12, 0, 0, 4, 0, 6, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 2, 0, 10, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 7, 0, 0, 0, 7, 14, 0, 0, 10, 0, 0, 0, 2, 0, 7, 0, 1, 0, 13, 0, 0, 0, 0, 0, 6, 16, 0, 0, 0, 13, 0, 0, 0, 11, 0, 1, 0, 0, 0, 0, 4, 14, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 11, 0, 0, 15, 0, 0, 0, 0, 10, 3, 0, 0, 0, 14, 14, 3, 3, 0, 8, 0, 0, 12, 0, 0, 9, 0, 0, 0, 5, 0, 0, 0, 9, 0, 0, 5, 0, 10, 0, 10, 0, 0, 0, 8, 0, 2, 0, 8, 2]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 2, 0, 10, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 7, 0, 0, 0, 7, 14, 0, 0, 10, 0, 0, 0, 2, 0, 7, 0, 1, 0, 13, 0, 0, 0, 0, 0, 6, 16, 0, 0, 0, 0, 19, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 0, 0, 16, 0, 0, 0, 0, 9, 4, 0, 0, 0, 13, 15, 0, 0, 0, 23, 0, 0, 0, 4, 0, 10, 0, 0, 0, 4, 0, 0, 0, 10, 0, 0, 4, 0, 11, 0, 9, 0, 0, 0, 9, 0, 2, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 2, 0, 10, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 7, 0, 0, 0, 7, 14, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 21, 0, 0, 0, 0, 14, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 0, 0, 21, 0, 0, 0, 0, 4, 9, 0, 0, 0, 8, 20, 0, 0, 0, 18, 0, 0, 0, 9, 0, 0, 0, 12, 0, 0, 0, 0, 0, 11, 0, 0, 3, 0, 12, 0, 8, 0, 0, 0, 10, 0, 1, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 2, 0, 10, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 7, 0, 0, 0, 7, 14, 0, 0, 10, 0, 0, 0, 2, 0, 7, 0, 1, 0, 13, 0, 0, 0, 0, 0, 6, 16, 0, 0, 0, 0, 19, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 0, 0, 16, 0, 0, 0, 0, 9, 4, 0, 0, 0, 13, 15, 2, 4, 0, 7, 0, 0, 0, 20, 0, 0, 0, 2, 0, 5, 0, 0, 0, 9, 0, 0, 5, 0, 10, 0, 10, 0, 0, 0, 8, 0, 2, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 0, 0, 16, 0, 9, 0, 0, 0, 0, 21, 0, 0, 0, 6, 0, 0, 0, 13, 0, 0, 0, 8, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 13, 0, 0, 0, 2, 19, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 11, 0, 0, 0, 9, 0, 0, 0, 4, 18, 0, 0, 0, 0, 17, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 8, 0, 0, 18, 0, 0, 0, 0, 7, 6, 0, 0, 0, 11, 17, 0, 0, 0, 21, 0, 0, 0, 6, 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 0, 0, 6, 0, 9, 0, 11, 0, 0, 0, 7, 0, 3, 0, 7, 2]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 2, 0, 10, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 7, 0, 0, 0, 7, 14, 0, 0, 10, 0, 0, 0, 2, 0, 7, 0, 1, 0, 13, 0, 0, 0, 0, 0, 6, 16, 0, 0, 0, 0, 19, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 0, 0, 16, 0, 0, 0, 0, 9, 4, 0, 0, 0, 13, 15, 2, 4, 0, 7, 0, 0, 13, 0, 0, 8, 0, 0, 0, 6, 0, 0, 0, 8, 0, 0, 6, 0, 9, 0, 11, 0, 0, 0, 7, 0, 3, 0, 7, 2]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 13, 0, 0, 0, 14, 0, 0, 0, 5, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 12, 0, 18, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 9, 13, 0, 0, 0, 0, 22, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 13, 0, 0, 13, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 20, 0, 0, 0, 18, 0, 0, 0, 9, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 12, 0, 0, 4, 0, 6, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 18, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 0, 0, 17, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 24, 0, 0, 0, 14, 0, 0, 0, 13, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 26, 0, 24, 0, 0, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 0, 0, 0, 24, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 15, 0, 0, 11, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 18, 0, 0, 0, 20, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 14, 0, 0, 2, 0, 24, 0, 0, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 0, 0, 0, 24, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 15, 0, 0, 11, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 18, 0, 0, 0, 20, 0, 0, 0, 7, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 32, 0, 24, 0, 0, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 13, 0, 0, 0, 14, 0, 0, 0, 5, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 12, 0, 18, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 9, 13, 0, 0, 0, 0, 22, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 13, 0, 0, 13, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 20, 0, 0, 0, 18, 0, 0, 0, 9, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 12, 0, 0, 4, 0, 24, 0, 0, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 2, 0, 10, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 7, 0, 1, 0, 11, 0, 2, 0, 0, 8, 0, 0, 0, 0, 0, 14, 4, 0, 0, 2, 5, 16, 0, 0, 8, 0, 0, 0, 4, 0, 5, 0, 2, 0, 12, 0, 0, 0, 0, 0, 7, 15, 0, 0, 0, 14, 0, 0, 0, 10, 0, 2, 0, 0, 0, 0, 3, 15, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 12, 0, 0, 14, 0, 0, 0, 0, 11, 2, 0, 0, 0, 15, 13, 4, 2, 0, 9, 0, 0, 11, 0, 0, 10, 0, 0, 0, 4, 0, 0, 0, 10, 0, 0, 4, 0, 11, 0, 9, 0, 0, 0, 9, 0, 2, 0, 8, 2]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 13, 0, 0, 0, 14, 0, 0, 0, 5, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 12, 0, 18, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 17, 0, 0, 0, 0, 18, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 0, 0, 17, 0, 0, 0, 0, 8, 5, 0, 0, 0, 12, 16, 0, 0, 0, 22, 0, 0, 0, 5, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 16, 0, 0, 1, 0, 9, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 26, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 55, 0, 24, 0, 0, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 38, 0, 24, 0, 0, 0]
[0, 10, 13, 0, 0, 0, 11, 3, 0, 8, 0, 0, 0, 0, 10, 1, 0, 0, 16, 0, 9, 0, 0, 0, 0, 21, 0, 0, 0, 6, 0, 0, 0, 13, 0, 0, 0, 8, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 13, 0, 0, 0, 2, 19, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 11, 0, 0, 0, 9, 0, 0, 0, 4, 18, 0, 0, 0, 0, 17, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 8, 0, 0, 18, 0, 0, 0, 0, 7, 6, 0, 0, 0, 11, 17, 0, 0, 0, 21, 0, 0, 0, 6, 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 0, 0, 6, 0, 9, 0, 11, 0, 0, 0, 7, 0, 3, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 0, 0, 19, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 26, 0, 0, 0, 12, 0, 0, 0, 15, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 0, 0, 10, 0, 1, 0, 12, 0]
[0, 10, 13, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 18, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 18, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 30, 0, 0, 0, 0, 24, 0, 0, 0]
