[0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 4, 0, 17, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 11, 0, 7, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 0, 0, 0, 0, 9, 0, 1, 0, 0, 11, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 0, 10, 0, 11, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 9, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 2, 3, 2, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1, 5, 0, 0, 0, 8, 0, 0, 0, 0, 3, 0, 3, 0, 0, 7, 0, 0, 0, 3, 0, 0, 7, 0, 0, 11, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 7, 0, 2, 0, 0, 0, 0, 7, 0, 7, 4, 0, 0, 0, 5, 0, 0, 0, 0, 5, 2, 0, 6, 0, 0, 0, 0, 2, 0, 0, 6, 0, 0, 0, 2, 0, 0, 11, 0, 0, 13, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 4, 5, 5, 0, 1, 0, 2, 5, 0, 6, 0, 0, 0, 5, 2, 13, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 5, 6, 2, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 0, 0, 0, 8, 0, 0, 2, 0, 0, 16, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 4, 0, 4, 0, 0, 0, 0, 5, 0, 9, 2, 0, 0, 0, 7, 0, 0, 0, 0, 3, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 10, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 0, 7, 0, 0, 5, 4, 6, 0, 0, 0, 4, 3, 0, 8, 0, 0, 0, 3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 6, 5, 3, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 0, 0, 0, 0, 9, 0, 1, 0, 0, 11, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 0, 10, 0, 11, 0, 0, 0, 0, 8, 0, 3, 0, 0, 0, 8, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 9, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0, 0, 11, 0, 0, 0, 0, 1, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 5, 0, 0, 13, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 6, 0, 2, 0, 0, 0, 0, 7, 0, 7, 4, 0, 0, 0, 5, 0, 0, 0, 0, 5, 2, 0, 6, 0, 0, 0, 0, 2, 0, 0, 6, 0, 0, 0, 2, 0, 0, 11, 0, 0, 13, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 4, 5, 5, 0, 1, 0, 2, 5, 0, 6, 0, 0, 0, 5, 2, 13, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 5, 6, 2, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 0, 0, 0, 0, 9, 0, 1, 0, 0, 11, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 0, 10, 0, 11, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 15, 0]
[0, 0, 11, 0, 7, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 0, 0, 0, 0, 9, 0, 1, 0, 0, 11, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 0, 10, 0, 11, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0]
[0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 4, 0, 17, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 8, 0, 0, 9, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 9, 0, 5, 6, 0, 0, 0, 3, 0, 0, 0, 0, 7, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 0, 0, 9, 0, 12, 0, 0, 0, 0, 7, 0, 4, 0, 0, 0, 7, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 2, 0, 10, 0, 0, 4, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 9, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 2, 0, 0, 8, 0, 0, 10, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 8, 0, 6, 5, 0, 0, 0, 4, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 0, 0, 7, 2, 8, 0, 0, 0, 2, 5, 0, 6, 0, 0, 0, 5, 2, 13, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 5, 6, 2, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 2, 3, 2, 0, 8, 0, 4, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 4, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 4, 0, 0, 6, 0, 0, 0, 4, 0, 0, 6, 0, 5, 0, 0, 0, 11, 0, 1, 0, 0, 0, 0, 8, 0, 1, 0, 7, 0, 0, 0, 0, 2, 0, 12, 1, 0, 0, 0, 8, 0, 0, 0, 0, 2, 5, 0, 3, 0, 0, 0, 0, 5, 0, 0, 3, 0, 0, 0, 4, 0, 0, 9, 0, 0, 15, 0, 0, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 0, 0, 6, 3, 7, 0, 0, 0, 3, 4, 0, 7, 0, 0, 0, 4, 2, 13, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 5, 6, 2, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5, 0, 4, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 13, 0, 0, 0, 0, 3, 0, 5, 0, 0, 7, 0, 0, 0, 15, 0, 0, 0, 3, 0, 0, 0, 2, 0, 6, 0, 10, 0, 0, 0, 0, 0, 9, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 7, 0, 0, 10, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 10, 0, 4, 7, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 0, 0, 8, 0, 13, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 2, 3, 2, 0, 8, 0, 4, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 4, 0, 2, 0, 4, 0, 0, 2, 0, 2, 0, 4, 0, 0, 6, 0, 0, 0, 4, 0, 0, 6, 0, 5, 0, 2, 1, 4, 0, 6, 0, 0, 0, 0, 3, 0, 5, 0, 3, 0, 0, 0, 0, 6, 0, 8, 3, 0, 0, 0, 6, 0, 0, 0, 0, 4, 3, 0, 5, 0, 0, 0, 0, 3, 0, 0, 5, 0, 0, 0, 2, 0, 0, 11, 0, 0, 13, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 4, 5, 5, 0, 1, 0, 2, 5, 0, 6, 0, 2, 0, 1, 5, 10, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 5, 3, 0, 0, 0, 5, 6, 2, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5, 0, 4, 0]
[0, 0, 11, 0, 7, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 0, 10, 0, 11, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 2, 3, 2, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 4, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 4, 0, 0, 6, 0, 0, 0, 4, 0, 0, 6, 0, 5, 0, 2, 1, 4, 0, 6, 0, 0, 0, 0, 3, 0, 5, 0, 3, 0, 0, 0, 0, 6, 0, 8, 3, 0, 0, 0, 6, 0, 0, 0, 0, 4, 3, 0, 5, 0, 0, 0, 0, 3, 0, 0, 5, 0, 0, 0, 2, 0, 0, 11, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 0, 0, 6, 3, 7, 0, 0, 0, 3, 4, 0, 7, 0, 0, 0, 4, 2, 13, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 5, 6, 2, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0, 0, 11, 0, 0, 0, 0, 1, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 5, 0, 0, 13, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 6, 0, 2, 0, 0, 0, 0, 7, 0, 7, 4, 0, 0, 0, 5, 0, 0, 0, 0, 5, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 10, 0, 0, 14, 0, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 0, 7, 0, 0, 5, 4, 6, 0, 0, 0, 4, 3, 0, 8, 0, 0, 0, 3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 6, 5, 3, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
[0, 0, 11, 0, 7, 0, 2, 0, 0, 0, 0, 11, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 11, 0, 0, 0, 0, 5, 0, 3, 0, 0, 9, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 1, 0, 7, 0, 9, 0, 0, 0, 0, 0, 10, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 0, 0, 0, 8, 0, 0, 2, 0, 0, 16, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 4, 0, 4, 0, 0, 0, 0, 5, 0, 9, 2, 0, 0, 0, 7, 0, 0, 0, 0, 3, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 10, 0, 0, 14, 0, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 0, 7, 0, 0, 5, 4, 6, 0, 0, 0, 4, 3, 0, 8, 0, 0, 0, 3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 6, 5, 3, 0, 2, 0, 0, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 0]
